2,2,1.78863,11991
2,2,0.876009,5884
2,2,0.178818,1208
2,2,1.58245,10662
2,2,0.695584,4732
2,2,1.06325,7174
2,2,0.148353,1009
2,2,0.63512,4281
2,2,0.268158,1814
2,2,0.712887,4803
2,2,2.8744,19290
2,2,1.23905,8361
2,2,0.153569,1041
2,2,2.09607,14085
2,2,0.0450322,302
2,2,0.0573972,389
2,2,0.0121927,82
2,2,1.6872,11376
2,2,1.11556,7555
2,2,0.0311956,210
2,2,0.354604,2421
2,2,1.26243,8507
2,2,0.0396806,268
2,2,0.414667,2805
2,2,0.188938,1285
2,2,0.637213,4294
2,2,0.0212727,145
2,2,0.720027,4877
2,2,0.343486,2331
2,2,1.44247,9612
2,2,1.59574,10816
2,2,0.675712,4546
2,2,1.19189,8014
2,2,3.10884,20504
2,2,0.0167202,110
2,2,0.02874,183
2,2,0.203936,1344
2,2,0.165474,1087
2,2,0.199159,1345
2,2,0.0481979,318
2,2,0.115633,782
2,2,0.0205102,133
2,2,1.46502,9576
2,2,0.532918,3571
2,2,0.0284459,194
2,2,2.21537,14794
2,2,0.121059,787
2,2,0.288218,1901
2,2,0.00994147,67
2,2,0.924366,6251
3,2,0.865616,5820
3,2,4.61759,30621
3,2,0.888005,5833
3,2,0.453177,3015
3,2,4.83862,32213
3,2,1.05566,6968
3,2,0.463109,3078
3,2,0.162609,1083
3,2,0.0174325,116
3,2,2.66063,17761
3,2,1.16248,7792
3,2,0.0207567,137
3,2,0.377124,2549
3,2,1.20737,8060
3,2,0.204798,1373
3,2,3.11071,20758
3,2,0.029807,194
3,2,0.0684104,463
3,2,0.927378,6224
3,2,0.106567,703
3,2,4.47967,29956
3,2,0.102219,690
3,2,2.41439,15973
3,2,1.99714,13240
3,2,2.74304,18345
3,2,3.78538,25086
3,2,0.600829,4015
3,2,3.2269,21103
3,2,2.56038,16711
3,2,0.0820461,546
3,2,3.85037,25384
3,2,0.985552,6371
3,2,0.0627125,412
3,2,0.72354,4718
3,2,2.1474,14123
3,2,0.0488856,320
3,2,0.019893,131
3,2,0.00790864,50
3,2,0.166283,1119
3,2,2.30673,15271
3,2,0.0194533,131
3,2,2.23236,14832
3,2,2.73698,18135
3,2,0.375319,2472
3,2,0.0483479,322
3,2,1.50419,9973
3,2,0.0292326,197
3,2,1.93448,12851
3,2,0.0789924,533
3,2,0.530892,3525
3,3,1.88162,12246
3,3,1.95047,12746
3,3,0.355989,2329
3,3,2.67592,17471
3,3,0.815946,5440
3,3,0.23653,1540
3,3,0.985792,6439
3,3,0.341695,2280
3,3,0.0552743,362
3,3,3.72415,24548
3,3,5.12322,33437
3,3,3.68221,24052
3,3,8.04204,52765
3,3,3.81508,25085
3,3,0.0699409,450
3,3,3.51792,23118
3,3,4.35836,28414
3,3,3.37068,22022
3,3,0.00534238,35
3,3,3.9695,25934
3,3,0.518742,3420
3,3,6.19048,40269
3,3,3.60878,23604
3,3,5.28198,34718
3,3,5.26192,34623
3,3,2.85121,18800
3,3,5.80704,38098
3,3,0.206599,1387
3,3,3.88176,25552
3,3,1.77417,11698
3,3,0.147863,991
3,3,0.0415819,275
3,3,0.38363,2549
3,3,0.235044,1480
3,3,0.00824739,54
3,3,4.42074,29042
3,3,0.429907,2852
3,3,2.94407,19275
3,3,1.46199,9566
3,3,3.09552,19910
3,3,0.722312,4733
3,3,2.19642,14081
3,3,7.18052,46790
3,3,0.207628,1357
3,3,3.95495,26159
3,3,1.65807,10977
3,3,2.83882,18564
3,3,0.335629,2196
3,3,0.745988,4965
3,3,0.0477825,314
4,2,1.34291,8933
4,2,4.76783,31574
4,2,1.21828,8050
4,2,1.83186,12059
4,2,2.26913,15007
4,2,6.19335,40902
4,2,1.86559,12278
4,2,4.2779,28415
4,2,0.0230756,148
4,2,3.32108,21901
4,2,1.64356,10775
4,2,2.3132,15176
4,2,3.53989,23079
4,2,0.0607112,403
4,2,0.606814,4025
4,2,0.570503,3791
4,2,2.67717,17529
4,2,5.86472,38474
4,2,2.31587,15273
4,2,1.4248,9473
4,2,5.93083,39100
4,2,2.6846,17708
4,2,0.161236,1076
4,2,1.59485,10593
4,2,0.0546762,353
4,2,2.54901,16835
4,2,1.80652,11898
4,2,1.54323,10213
4,2,2.3259,15436
4,2,0.570648,3794
4,2,5.89526,38853
4,2,2.32547,15353
4,2,3.53386,23317
4,2,1.39,9117
4,2,1.47486,9772
4,2,2.21035,14484
4,2,2.64635,17457
4,2,3.70712,24524
4,2,0.0320763,212
4,2,2.0923,13823
4,2,0.799593,5259
4,2,0.210186,1391
4,2,0.0906144,605
4,2,0.0284392,188
4,2,3.30385,21723
4,2,1.83458,12156
4,2,0.0598915,386
4,2,1.36212,9059
4,2,0.025351,160
4,2,5.94408,39204
4,3,1.28444,8325
4,3,10.5484,67987
4,3,1.88061,12178
4,3,2.18469,14152
4,3,1.18173,7683
4,3,3.47438,22436
4,3,0.314384,2038
4,3,0.0279343,181
4,3,3.36182,21796
4,3,3.14553,20259
4,3,1.64712,10695
4,3,1.20074,7832
4,3,3.44034,22220
4,3,4.53696,29408
4,3,1.12063,7335
4,3,4.03901,26179
4,3,4.33101,28018
4,3,2.65464,17264
4,3,2.95604,19056
4,3,1.09967,7094
4,3,3.33748,21631
4,3,8.62989,55975
4,3,2.73302,17701
4,3,3.15378,20224
4,3,3.41214,22143
4,3,0.0471278,300
4,3,0.272621,1771
4,3,1.06834,6891
4,3,4.02011,25924
4,3,2.97036,19136
4,3,3.86132,24883
4,3,2.1804,14095
4,3,5.39707,34974
4,3,0.731082,4752
4,3,3.7811,24449
4,3,3.66193,23694
4,3,5.22613,33902
4,3,9.70803,63001
4,3,0.271518,1738
4,3,0.480592,3158
4,3,8.58986,55273
4,3,0.0517286,311
4,3,9.19183,59506
4,3,3.49213,22549
4,3,3.37081,21703
4,3,0.714118,4659
4,3,0.853856,5521
4,3,3.32715,21431
4,3,1.56941,10149
4,3,10.3118,66649
4,4,9.17196,58410
4,4,3.66219,23291
4,4,1.41569,9067
4,4,0.129958,840
4,4,4.52005,28720
4,4,5.5148,35065
4,4,2.38155,15187
4,4,0.771229,4908
4,4,3.74397,23858
4,4,9.43667,59987
4,4,7.36422,46727
4,4,0.22771,1452
4,4,7.48446,47563
4,4,0.0520846,323
4,4,6.66886,42634
4,4,0.909403,5833
4,4,4.93436,31532
4,4,5.70675,36378
4,4,1.53153,9651
4,4,0.466243,2951
4,4,0.093525,600
4,4,7.44801,47233
4,4,8.63634,55071
4,4,0.587204,3673
4,4,6.99837,44596
4,4,2.45471,15774
4,4,0.0767777,490
4,4,0.152882,965
4,4,2.26235,14457
4,4,0.267388,1704
4,4,5.79838,36967
4,4,0.855381,5438
4,4,5.41414,34588
4,4,2.38927,15234
4,4,5.52516,35355
4,4,6.9248,44342
4,4,0.200288,1309
4,4,5.60153,35688
4,4,0.981407,6269
4,4,3.51772,22360
4,4,3.03594,19218
4,4,6.00555,38279
4,4,13.1389,83592
4,4,3.37001,21390
4,4,4.31602,27419
4,4,8.98168,56965
4,4,5.11529,32460
4,4,5.68547,36201
4,4,0.107589,705
4,4,6.16509,39226
5,2,1.27151,8505
5,2,3.24652,21404
5,2,1.58194,10470
5,2,2.21491,14724
5,2,2.92657,19363
5,2,0.137948,912
5,2,6.47895,42379
5,2,7.24226,47403
5,2,0.242403,1616
5,2,1.14145,7517
5,2,3.3327,22097
5,2,2.01646,13339
5,2,3.45195,22815
5,2,0.755359,5007
5,2,0.955154,6382
5,2,6.17543,40762
5,2,0.279265,1853
5,2,3.18934,20862
5,2,5.73419,37837
5,2,1.21726,8110
5,2,6.6489,43777
5,2,3.47963,22886
5,2,5.79536,37953
5,2,3.44288,22724
5,2,0.262417,1773
5,2,1.2377,8212
5,2,4.77802,31669
5,2,6.95402,45923
5,2,0.0993194,643
